Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,04/10/2025,17:45,For Sittard,Volendam,1,0,H,1,0,H,16,8,3,1,14,13,7,4,1,2,0,0,1.85,3.9,3.8,1.85,3.9,3.9,1.87,3.86,3.86,1.83,3.83,3.87,1.75,4,4.33,1.89,3.99,3.89,1.79,3.88,4.08
N1,04/10/2025,19:00,Zwolle,PSV Eindhoven,0,4,A,0,2,A,4,19,0,9,7,8,4,8,0,3,1,0,7,5,1.4,6.5,5.25,1.4,6.71,5.32,1.39,6.95,5.18,1.38,6.5,5.5,1.4,6.37,5.48,1.43,6.13,5.23
N1,04/10/2025,20:00,Heerenveen,Excelsior,2,1,H,0,1,A,19,9,4,2,6,17,7,3,1,3,0,0,1.6,4.33,5,1.66,4.2,4.6,1.57,4.41,5.14,1.6,4.28,4.9,1.67,4.1,4.5,1.66,4.26,4.98,1.66,4.04,4.65
N1,05/10/2025,11:15,Twente,Heracles,2,1,H,0,1,A,21,7,9,2,5,8,4,3,0,2,1,0,1.33,5.5,8.5,1.35,5.5,7.75,1.32,5.64,8.3,1.32,5.5,8.13,1.3,5.75,9,1.33,5.74,8.77,1.28,5.72,9.27
N1,05/10/2025,13:30,Feyenoord,Utrecht,3,2,H,1,0,H,22,10,10,4,7,10,12,3,1,0,0,0,1.48,4.5,6,1.47,4.6,6.25,1.46,4.57,6.53,1.46,4.56,6.26,1.42,4.75,6.5,1.5,4.62,6.51,1.44,4.62,6.47
N1,05/10/2025,15:45,AZ Alkmaar,Telstar,2,1,H,2,0,H,27,14,10,5,7,13,6,4,3,2,0,0,1.3,6,8.5,1.29,6,9,1.29,6.29,7.75,1.27,5.94,9.08,1.36,5.25,7.5,1.34,5.9,8.13,1.33,5.37,8.04
N1,05/10/2025,19:00,Go Ahead Eagles,Nijmegen,1,1,D,0,1,A,8,17,3,7,13,18,11,4,1,4,0,1,2.55,4,2.5,2.4,4,2.55,2.56,3.88,2.49,2.44,3.86,2.51,2.55,4.1,2.45,2.6,4.01,2.51,2.5,3.89,2.46
N1,18/10/2025,15:30,Nijmegen,Twente,3,3,D,1,1,D,8,9,4,3,15,21,3,3,2,3,0,0,2.35,3.8,2.7,2.37,3.75,2.7,2.46,3.61,2.73,2.37,3.66,2.66,2.63,3.9,2.38,2.54,3.75,2.68,2.52,3.65,2.52
N1,18/10/2025,17:45,PSV Eindhoven,Go Ahead Eagles,2,1,H,1,0,H,24,4,8,2,7,8,6,1,1,1,0,0,1.27,7,8,1.24,7.25,9.25,1.26,7.49,7.32,1.24,6.66,8.92,1.22,7.5,9.5,1.25,7.64,9.07,1.22,6.94,9.5
N1,18/10/2025,17:45,Utrecht,Volendam,3,1,H,0,1,A,22,3,6,3,12,13,10,0,1,1,0,0,1.36,5.25,8,1.39,5,7.25,1.39,5.08,7.09,1.36,5.02,7.4,1.4,5.25,7,1.4,5.5,8.04,1.34,5.25,7.89
N1,18/10/2025,20:00,Ajax,AZ Alkmaar,0,2,A,0,2,A,17,13,6,3,13,19,5,4,4,2,0,0,2,3.9,3.4,2,3.8,3.4,1.95,3.9,3.5,1.95,3.9,3.5,2.05,3.9,3.25,1.96,3.9,3.5,2.11,3.8,3.38
N1,18/10/2025,20:00,NAC Breda,Zwolle,2,2,D,2,1,H,19,11,6,3,11,14,3,2,0,3,0,0,2.1,3.6,3.3,2.1,3.6,3.25,2.07,3.65,3.41,2.06,3.56,3.28,1.7,3.9,4.5,1.92,3.68,4.12,1.74,3.78,4.38
N1,19/10/2025,11:15,Telstar,Heerenveen,2,3,A,1,2,A,18,15,6,7,9,12,6,11,1,2,0,0,2.7,3.5,2.5,2.7,3.6,2.45,2.77,3.58,2.44,2.71,3.56,2.39,2.88,3.4,2.1,3.16,3.69,2.24,2.96,3.56,2.2
