Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,01/11/2025,14:30,St Pauli,M'gladbach,0,4,A,0,2,A,16,15,4,11,11,8,8,1,4,0,0,0,2.15,3.5,3.3,2.1,3.5,3.4,2.2,3.51,3.4,2.11,3.44,3.34,2.3,3.4,3.1,2.35,3.49,3.17,2.31,3.39,3.01
D1,01/11/2025,14:30,Union Berlin,Freiburg,0,0,D,0,0,D,11,13,2,4,20,13,5,5,6,1,0,0,2.5,3.3,2.75,2.55,3.25,2.75,2.65,3.27,2.86,2.56,3.23,2.74,2.6,3.2,2.8,2.72,3.21,2.87,2.62,3.14,2.78
D1,01/11/2025,17:30,Bayern Munich,Leverkusen,3,0,H,3,0,H,18,7,4,1,11,3,10,4,1,1,0,0,1.22,7,9.5,1.22,7.25,11,1.23,7.43,10.66,1.22,6.85,10.44,1.25,6.5,10,1.21,7.57,12.27,1.26,6.2,9.42
D1,02/11/2025,14:30,FC Koln,Hamburg,4,1,H,1,0,H,23,11,10,5,8,18,2,3,1,6,0,2,2.1,3.7,3.2,2.05,3.7,3.3,2.18,3.67,3.29,2.1,3.64,3.19,3.6,3.2,2.2,3.69,3.24,2.23,3.48,3.16,2.19
D1,02/11/2025,16:30,Wolfsburg,Hoffenheim,2,3,A,1,1,D,12,10,6,4,10,17,2,2,0,2,0,0,2.75,3.9,2.3,2.8,3.7,2.3,2.77,3.78,2.45,2.76,3.68,2.31,2.8,3.8,2.3,2.79,3.77,2.47,2.7,3.7,2.37
D1,07/11/2025,19:30,Werder Bremen,Wolfsburg,2,1,H,0,1,A,20,7,7,4,13,8,13,3,2,0,0,0,2.15,3.6,3.1,2.2,3.6,3.1,2.23,3.84,3.13,2.18,3.64,3.07,2.15,3.6,3.1,2.2,3.76,3.26,2.14,3.64,3.14
D1,08/11/2025,14:30,Hamburg,Dortmund,1,1,D,0,0,D,9,17,3,1,14,8,2,6,1,1,0,0,4.33,4.2,1.7,4.33,4.33,1.68,4.58,4.28,1.71,4.45,4.21,1.66,3.8,3.8,1.85,4.1,3.9,1.89,3.79,3.84,1.86
D1,08/11/2025,14:30,Hoffenheim,RB Leipzig,3,1,H,2,1,H,12,17,4,5,13,5,5,5,3,2,0,0,2.6,3.9,2.4,2.6,3.9,2.37,2.71,3.97,2.43,2.64,3.8,2.36,2.7,3.8,2.35,2.79,3.95,2.4,2.7,3.76,2.36
D1,08/11/2025,14:30,Leverkusen,Heidenheim,6,0,H,5,0,H,25,1,10,0,5,7,11,1,0,1,0,0,1.4,5,6.5,1.4,5,7,1.41,5.1,7.57,1.39,4.86,7.14,1.44,4.75,7,1.4,5.23,7.71,1.39,4.96,7.35
D1,08/11/2025,14:30,Union Berlin,Bayern Munich,2,2,D,1,1,D,12,12,4,4,8,8,6,5,2,4,0,0,13,7,1.2,12,6.75,1.22,12.56,7.33,1.21,12.03,6.7,1.2,11,6.5,1.22,13,7.05,1.22,11.72,6.69,1.21
D1,08/11/2025,17:30,M'gladbach,FC Koln,3,1,H,1,0,H,9,19,4,5,11,13,2,6,2,3,0,0,2.2,3.6,3.1,2.2,3.5,3.1,2.28,3.65,3.11,2.19,3.54,3.06,2.05,3.75,3.4,2.07,3.77,3.57,2.03,3.67,3.36
D1,09/11/2025,14:30,Freiburg,St Pauli,2,1,H,1,0,H,8,7,4,2,8,12,9,3,2,2,0,0,1.83,3.5,4.5,1.83,3.5,4.33,1.87,3.61,4.48,1.82,3.51,4.32,1.75,3.6,4.75,1.78,3.62,5.17,1.77,3.57,4.61
